species,length,weight,w_l_ratio
Coilia dussumieri,18.9,2.28,0.12
Coilia dussumieri,18.22,2.55,0.14
Coilia dussumieri,19.62,2.33,0.12
Coilia dussumieri,18.63,2.26,0.12
Coilia dussumieri,20.02,2.29,0.11
Coilia dussumieri,19.85,2.42,0.12
Coilia dussumieri,20.11,2.58,0.13
Coilia dussumieri,16.38,2.72,0.17
Coilia dussumieri,18.34,2.4,0.13
Coilia dussumieri,18.39,2.35,0.13
Coilia dussumieri,20.44,2.62,0.13
Coilia dussumieri,18.17,2.44,0.13
Coilia dussumieri,19.54,2.6,0.13
Coilia dussumieri,18.35,2.47,0.13
Coilia dussumieri,19.07,2.4,0.13
Coilia dussumieri,19.47,2.74,0.14
Coilia dussumieri,18.54,2.62,0.14
Coilia dussumieri,19.67,2.41,0.12
Coilia dussumieri,16.41,2.26,0.14
Coilia dussumieri,18.47,2.42,0.13
Coilia dussumieri,20.27,2.19,0.11
Coilia dussumieri,17.39,2.4,0.14
Coilia dussumieri,19.96,2.56,0.13
Coilia dussumieri,17.59,2.55,0.15
Coilia dussumieri,20.15,2.65,0.13
Coilia dussumieri,17.47,2.4,0.14
Coilia dussumieri,20.14,2.49,0.12
Coilia dussumieri,19.39,2.52,0.13
Coilia dussumieri,18.87,2.57,0.14
Coilia dussumieri,19.15,2.19,0.11
Coilia dussumieri,19.19,2.38,0.12
Coilia dussumieri,19.72,2.58,0.13
Coilia dussumieri,19.27,2.47,0.13
Coilia dussumieri,18.33,2.55,0.14
Coilia dussumieri,16.55,2.36,0.14
Coilia dussumieri,18.44,2.52,0.14
Coilia dussumieri,19.54,2.32,0.12
Coilia dussumieri,17.05,2.56,0.15
Coilia dussumieri,19.17,2.58,0.13
Coilia dussumieri,20.04,2.77,0.14
Coilia dussumieri,18.13,2.58,0.14
Coilia dussumieri,18.28,2.6,0.14
Coilia dussumieri,20.68,2.31,0.11
Coilia dussumieri,20.26,2.57,0.13
Coilia dussumieri,18.38,2.16,0.12
Coilia dussumieri,20.4,2.45,0.12
Coilia dussumieri,18.43,2.36,0.13
Coilia dussumieri,19.34,2.43,0.13
Coilia dussumieri,18.79,2.61,0.14
Coilia dussumieri,16.6,2.47,0.15
Coilia dussumieri,15.99,2.52,0.16
Coilia dussumieri,15.77,2.53,0.16
Coilia dussumieri,18.84,2.75,0.15
Coilia dussumieri,19.62,2.22,0.11
Coilia dussumieri,18.28,2.39,0.13
Coilia dussumieri,17.81,2.5,0.14
Coilia dussumieri,18.45,2.22,0.12
Coilia dussumieri,20.71,2.44,0.12
Coilia dussumieri,19.08,2.56,0.13
Coilia dussumieri,20.01,2.46,0.12
Coilia dussumieri,20.33,2.64,0.13
Coilia dussumieri,16.68,2.43,0.15
Coilia dussumieri,19.4,2.54,0.13
Coilia dussumieri,19.81,2.5,0.13
Coilia dussumieri,19.87,2.36,0.12
Coilia dussumieri,19.49,2.45,0.13
Coilia dussumieri,20.17,2.56,0.13
Coilia dussumieri,17.73,2.83,0.16
Coilia dussumieri,19.33,2.54,0.13
Coilia dussumieri,18.38,2.75,0.15
Coilia dussumieri,20.17,2.37,0.12
Coilia dussumieri,18.98,2.68,0.14
Coilia dussumieri,20.03,2.75,0.14
Coilia dussumieri,19.66,2.34,0.12
Coilia dussumieri,18.79,2.64,0.14
Coilia dussumieri,19.28,2.76,0.14
Coilia dussumieri,18.76,2.67,0.14
Coilia dussumieri,19.66,2.59,0.13
Coilia dussumieri,18.33,2.58,0.14
Coilia dussumieri,19.94,2.27,0.11
Coilia dussumieri,20.38,2.6,0.13
Coilia dussumieri,20.14,2.59,0.13
Coilia dussumieri,20.46,2.72,0.13
Coilia dussumieri,18.48,2.72,0.15
Coilia dussumieri,17.12,2.28,0.13
Coilia dussumieri,16.97,2.1,0.12
Coilia dussumieri,19.65,3.02,0.15
Coilia dussumieri,18.14,2.52,0.14
Coilia dussumieri,20.54,2.66,0.13
Coilia dussumieri,15.69,2.64,0.17
Coilia dussumieri,20.52,2.36,0.11
Coilia dussumieri,19.65,2.35,0.12
Coilia dussumieri,18.03,2.21,0.12
Coilia dussumieri,20.54,2.44,0.12
Coilia dussumieri,20.02,2.37,0.12
Coilia dussumieri,19.34,2.18,0.11
Coilia dussumieri,17.34,2.59,0.15
Coilia dussumieri,17.22,2.36,0.14
Coilia dussumieri,20.41,2.36,0.12
Coilia dussumieri,17.67,2.16,0.12
Coilia dussumieri,20.44,2.47,0.12
Coilia dussumieri,18.95,2.56,0.14
Coilia dussumieri,18.58,2.53,0.14
Coilia dussumieri,19.07,2.26,0.12
Coilia dussumieri,16.63,2.5,0.15
Coilia dussumieri,19.97,2.68,0.13
Coilia dussumieri,17.14,2.52,0.15
Coilia dussumieri,16.67,2.36,0.14
Coilia dussumieri,18.38,2.6,0.14
Coilia dussumieri,18.21,2.39,0.13
Coilia dussumieri,17.58,2.39,0.14
Coilia dussumieri,20.3,2.54,0.12
Coilia dussumieri,16.32,2.48,0.15
Coilia dussumieri,17.29,2.44,0.14
Coilia dussumieri,18.75,2.41,0.13
Coilia dussumieri,19.73,2.4,0.12
Coilia dussumieri,17.02,2.59,0.15
Coilia dussumieri,18.02,2.55,0.14
Coilia dussumieri,17.07,2.27,0.13
Coilia dussumieri,17.69,2.3,0.13
Coilia dussumieri,18.01,2.37,0.13
Coilia dussumieri,18.74,2.79,0.15
Coilia dussumieri,17.64,2.5,0.14
Coilia dussumieri,16.04,2.44,0.15
Coilia dussumieri,17.06,2.34,0.14
Coilia dussumieri,20.45,2.57,0.13
Coilia dussumieri,19.97,2.49,0.12
Coilia dussumieri,16.23,2.32,0.14
Coilia dussumieri,20.17,2.39,0.12
Coilia dussumieri,15.72,2.22,0.14
Coilia dussumieri,18.53,2.38,0.13
Coilia dussumieri,18.14,2.47,0.14
Coilia dussumieri,20.39,2.13,0.1
Coilia dussumieri,17.38,2.42,0.14
Coilia dussumieri,20.61,2.21,0.11
Coilia dussumieri,18.41,2.28,0.12
Coilia dussumieri,18.9,2.73,0.14
Coilia dussumieri,19.62,2.53,0.13
Coilia dussumieri,19.67,2.36,0.12
Coilia dussumieri,18.52,2.41,0.13
Coilia dussumieri,17.03,2.33,0.14
Coilia dussumieri,19.69,2.21,0.11
Coilia dussumieri,15.64,2.53,0.16
Coilia dussumieri,17.1,2.6,0.15
Coilia dussumieri,16.16,2.53,0.16
Coilia dussumieri,19.34,2.48,0.13
Coilia dussumieri,19.72,2.48,0.13
Coilia dussumieri,19.15,2.67,0.14
Coilia dussumieri,20.56,2.53,0.12
Coilia dussumieri,19.53,2.35,0.12
Coilia dussumieri,19.34,2.32,0.12
Coilia dussumieri,19.06,2.42,0.13
Coilia dussumieri,20.59,2.65,0.13
Coilia dussumieri,17.44,2.46,0.14
Coilia dussumieri,20.45,2.49,0.12
Coilia dussumieri,17.26,2.2,0.13
Coilia dussumieri,17.09,2.08,0.12
Coilia dussumieri,20.62,2.46,0.12
Coilia dussumieri,19.52,2.45,0.13
Coilia dussumieri,18.89,2.48,0.13
Coilia dussumieri,19.02,2.75,0.14
Coilia dussumieri,20.39,2.73,0.13
Coilia dussumieri,19.83,2.51,0.13
Coilia dussumieri,17.65,2.16,0.12
Coilia dussumieri,19.53,2.5,0.13
Coilia dussumieri,17.77,2.4,0.14
Coilia dussumieri,18.73,2.73,0.15
Coilia dussumieri,19.69,2.94,0.15
Coilia dussumieri,19.93,2.24,0.11
Coilia dussumieri,19.68,2.7,0.14
Coilia dussumieri,16.2,2.55,0.16
Coilia dussumieri,19.05,2.49,0.13
Coilia dussumieri,18.46,2.37,0.13
Coilia dussumieri,18.53,2.4,0.13
Coilia dussumieri,20.13,2.75,0.14
Coilia dussumieri,20.41,2.35,0.12
Coilia dussumieri,19.55,2.56,0.13
Coilia dussumieri,19.17,2.69,0.14
Coilia dussumieri,17.68,2.63,0.15
Coilia dussumieri,20.71,2.57,0.12
Coilia dussumieri,18.26,2.38,0.13
Coilia dussumieri,20.03,2.71,0.14
Coilia dussumieri,19.99,2.49,0.12
Coilia dussumieri,19.31,2.44,0.13
Coilia dussumieri,17.05,2.35,0.14
Coilia dussumieri,19.03,2.48,0.13
Coilia dussumieri,20.23,2.55,0.13
Coilia dussumieri,19.66,2.54,0.13
Coilia dussumieri,20.05,2.48,0.12
Coilia dussumieri,20.24,2.51,0.12
Coilia dussumieri,19.79,2.81,0.14
Coilia dussumieri,18.23,2.62,0.14
Coilia dussumieri,19.0,2.72,0.14
Coilia dussumieri,19.62,2.68,0.14
Coilia dussumieri,18.75,2.44,0.13
Coilia dussumieri,17.98,2.71,0.15
Coilia dussumieri,19.83,2.58,0.13
Coilia dussumieri,18.54,2.36,0.13
Coilia dussumieri,19.73,2.63,0.13
Coilia dussumieri,19.07,2.32,0.12
Coilia dussumieri,19.7,2.4,0.12
Coilia dussumieri,19.67,2.32,0.12
Coilia dussumieri,17.55,2.23,0.13
Coilia dussumieri,16.21,2.53,0.16
Coilia dussumieri,19.73,2.38,0.12
Coilia dussumieri,20.07,2.39,0.12
Coilia dussumieri,17.92,2.58,0.14
Coilia dussumieri,18.74,2.44,0.13
Coilia dussumieri,16.93,2.62,0.15
Coilia dussumieri,19.66,2.7,0.14
Coilia dussumieri,19.39,2.55,0.13
Coilia dussumieri,19.22,2.77,0.14
Coilia dussumieri,18.39,2.56,0.14
Coilia dussumieri,20.07,2.65,0.13
Coilia dussumieri,16.68,2.49,0.15
Coilia dussumieri,16.59,2.29,0.14
Coilia dussumieri,18.73,2.49,0.13
Coilia dussumieri,19.89,2.79,0.14
Coilia dussumieri,18.0,2.36,0.13
Coilia dussumieri,19.76,2.46,0.12
Coilia dussumieri,19.3,2.63,0.14
Coilia dussumieri,18.82,2.61,0.14
Coilia dussumieri,16.77,2.07,0.12
Coilia dussumieri,17.75,2.44,0.14
Coilia dussumieri,20.37,2.58,0.13
Coilia dussumieri,18.34,2.21,0.12
Coilia dussumieri,16.59,2.74,0.17
Coilia dussumieri,17.13,2.49,0.15
Coilia dussumieri,19.54,2.5,0.13
Coilia dussumieri,18.84,2.63,0.14
Coilia dussumieri,17.27,2.38,0.14
Coilia dussumieri,17.46,2.21,0.13
Coilia dussumieri,16.89,2.53,0.15
Coilia dussumieri,18.25,2.36,0.13
Coilia dussumieri,18.65,2.29,0.12
Otolithoides biauritus,17.1,3.13,0.18
Otolithoides biauritus,13.25,3.03,0.23
Otolithoides biauritus,16.43,3.19,0.19
Otolithoides biauritus,16.36,3.14,0.19
Otolithoides biauritus,19.33,3.27,0.17
Otolithoides biauritus,16.31,3.13,0.19
Otolithoides biauritus,21.96,3.26,0.15
Otolithoides biauritus,12.09,2.95,0.24
Otolithoides biauritus,13.48,3.0,0.22
Otolithoides biauritus,12.0,2.99,0.25
Otolithoides biauritus,17.4,3.2,0.18
Otolithoides biauritus,15.91,3.12,0.2
Otolithoides biauritus,15.42,3.11,0.2
Otolithoides biauritus,14.77,3.06,0.21
Otolithoides biauritus,13.6,3.09,0.23
Otolithoides biauritus,15.43,3.09,0.2
Otolithoides biauritus,17.32,3.16,0.18
Otolithoides biauritus,20.63,3.34,0.16
Otolithoides biauritus,17.38,3.19,0.18
Otolithoides biauritus,16.05,3.08,0.19
Otolithoides biauritus,19.07,3.17,0.17
Otolithoides biauritus,17.44,3.25,0.19
Otolithoides biauritus,18.45,3.1,0.17
Otolithoides biauritus,14.45,3.08,0.21
Otolithoides biauritus,17.51,3.16,0.18
Otolithoides biauritus,14.04,2.95,0.21
Otolithoides biauritus,14.87,3.09,0.21
Otolithoides biauritus,14.4,3.1,0.22
Otolithoides biauritus,16.21,3.17,0.2
Otolithoides biauritus,13.65,3.0,0.22
Otolithoides biauritus,15.79,3.06,0.19
Otolithoides biauritus,15.02,3.1,0.21
Otolithoides biauritus,14.62,3.08,0.21
Otolithoides biauritus,16.69,3.24,0.19
Otolithoides biauritus,14.98,3.07,0.2
Otolithoides biauritus,11.09,2.87,0.26
Otolithoides biauritus,15.96,3.07,0.19
Otolithoides biauritus,16.08,3.16,0.2
Otolithoides biauritus,21.14,3.27,0.15
Otolithoides biauritus,16.48,3.18,0.19
Otolithoides biauritus,15.42,3.1,0.2
Otolithoides biauritus,16.39,3.17,0.19
Otolithoides biauritus,18.64,3.25,0.17
Otolithoides biauritus,15.35,3.14,0.2
Otolithoides biauritus,15.28,3.15,0.21
Otolithoides biauritus,18.62,3.17,0.17
Otolithoides biauritus,17.17,3.06,0.18
Otolithoides biauritus,18.01,3.22,0.18
Otolithoides biauritus,18.58,3.14,0.17
Otolithoides biauritus,14.67,3.08,0.21
Otolithoides biauritus,18.07,3.21,0.18
Otolithoides biauritus,12.78,3.06,0.24
Otolithoides biauritus,18.62,3.1,0.17
Otolithoides biauritus,17.42,3.2,0.18
Otolithoides biauritus,17.22,3.17,0.18
Otolithoides biauritus,17.82,3.11,0.17
Otolithoides biauritus,16.39,3.02,0.18
Otolithoides biauritus,16.23,3.05,0.19
Otolithoides biauritus,13.57,2.99,0.22
Otolithoides biauritus,18.45,3.17,0.17
Otolithoides biauritus,14.85,3.06,0.21
Otolithoides biauritus,17.04,3.17,0.19
Otolithoides biauritus,16.67,3.14,0.19
Otolithoides biauritus,16.42,3.18,0.19
Otolithoides biauritus,15.62,3.12,0.2
Otolithoides biauritus,15.88,3.23,0.2
Otolithoides biauritus,13.6,3.08,0.23
Otolithoides biauritus,15.43,3.06,0.2
Otolithoides biauritus,12.09,2.99,0.25
Otolithoides biauritus,17.27,3.16,0.18
Otolithoides biauritus,14.69,3.12,0.21
Otolithoides biauritus,14.07,3.04,0.22
Otolithoides biauritus,16.72,3.2,0.19
Otolithoides biauritus,14.89,3.05,0.21
Otolithoides biauritus,18.55,3.28,0.18
Otolithoides biauritus,19.06,3.22,0.17
Otolithoides biauritus,13.53,3.09,0.23
Otolithoides biauritus,19.03,3.21,0.17
Otolithoides biauritus,14.65,3.04,0.21
Otolithoides biauritus,15.75,3.08,0.2
Otolithoides biauritus,20.12,3.31,0.16
Otolithoides biauritus,14.14,3.1,0.22
Otolithoides biauritus,16.56,3.13,0.19
Otolithoides biauritus,15.59,3.09,0.2
Otolithoides biauritus,17.43,3.17,0.18
Otolithoides biauritus,16.4,3.09,0.19
Otolithoides biauritus,12.34,3.0,0.24
Otolithoides biauritus,20.39,3.38,0.17
Otolithoides biauritus,18.08,3.18,0.18
Otolithoides biauritus,20.47,3.38,0.16
Otolithoides biauritus,18.29,3.16,0.17
Otolithoides biauritus,11.96,2.92,0.24
Otolithoides biauritus,15.97,3.1,0.19
Otolithoides biauritus,17.05,3.02,0.18
Otolithoides biauritus,14.16,3.06,0.22
Otolithoides biauritus,17.33,3.12,0.18
Otolithoides biauritus,16.77,3.14,0.19
Otolithoides biauritus,15.5,3.14,0.2
Otolithoides biauritus,14.91,3.01,0.2
Otolithoides biauritus,13.78,3.05,0.22
Otolithoides biauritus,17.04,3.19,0.19
Otolithoides biauritus,17.71,3.15,0.18
Otolithoides biauritus,14.92,3.09,0.21
Otolithoides biauritus,13.98,3.13,0.22
Otolithoides biauritus,12.8,2.96,0.23
Otolithoides biauritus,16.05,3.15,0.2
Otolithoides biauritus,16.35,3.11,0.19
Otolithoides biauritus,15.57,3.06,0.2
Otolithoides biauritus,14.93,3.14,0.21
Otolithoides biauritus,19.46,3.25,0.17
Otolithoides biauritus,18.98,3.2,0.17
Otolithoides biauritus,17.43,3.09,0.18
Otolithoides biauritus,18.22,3.11,0.17
Otolithoides biauritus,17.1,3.19,0.19
Otolithoides biauritus,19.63,3.21,0.16
Otolithoides biauritus,15.71,3.02,0.19
Otolithoides biauritus,20.5,3.12,0.15
Otolithoides biauritus,19.83,3.33,0.17
Otolithoides biauritus,16.12,3.09,0.19
Otolithoides biauritus,20.09,3.28,0.16
Otolithoides biauritus,20.32,3.15,0.15
Otolithoides biauritus,15.39,3.09,0.2
Otolithoides biauritus,16.99,3.05,0.18
Otolithoides biauritus,17.69,3.08,0.17
Otolithoides biauritus,14.96,3.12,0.21
Otolithoides biauritus,14.77,3.1,0.21
Otolithoides biauritus,18.43,3.16,0.17
Otolithoides biauritus,14.08,3.0,0.21
Otolithoides biauritus,11.41,2.91,0.26
Otolithoides biauritus,17.4,3.15,0.18
Otolithoides biauritus,19.65,3.28,0.17
Otolithoides biauritus,14.21,3.12,0.22
Otolithoides biauritus,13.83,3.01,0.22
Otolithoides biauritus,15.38,3.15,0.2
Otolithoides biauritus,21.06,3.35,0.16
Otolithoides biauritus,16.95,3.12,0.18
Otolithoides biauritus,13.29,3.07,0.23
Otolithoides biauritus,18.52,3.16,0.17
Otolithoides biauritus,18.3,3.18,0.17
Otolithoides biauritus,19.64,3.2,0.16
Otolithoides biauritus,13.37,3.04,0.23
Otolithoides biauritus,16.64,3.23,0.19
Otolithoides biauritus,19.66,3.19,0.16
Otolithoides biauritus,16.96,3.08,0.18
Otolithoides biauritus,14.95,3.03,0.2
Otolithoides biauritus,18.3,3.14,0.17
Otolithoides biauritus,17.73,3.12,0.18
Otolithoides biauritus,16.02,3.12,0.19
Otolithoides biauritus,16.44,3.13,0.19
Otolithoides biauritus,15.57,3.07,0.2
Otolithoides biauritus,16.97,3.17,0.19
Otolithoides biauritus,16.43,3.14,0.19
Otolithoides biauritus,19.91,3.21,0.16
Otolithoides biauritus,15.48,3.03,0.2
Otolithoides biauritus,19.74,3.22,0.16
Otolithoides biauritus,15.55,3.05,0.2
Otolithoides biauritus,14.3,3.08,0.22
Otolithoides biauritus,15.54,3.05,0.2
Otolithoides biauritus,13.24,3.04,0.23
Otolithoides biauritus,13.54,2.98,0.22
Otolithoides biauritus,14.96,3.11,0.21
Otolithoides biauritus,17.99,3.12,0.17
Otolithoides biauritus,15.85,3.07,0.19
Otolithoides biauritus,15.95,3.07,0.19
Otolithoides biauritus,18.51,3.21,0.17
Otolithoides biauritus,15.67,3.09,0.2
Otolithoides biauritus,15.21,3.05,0.2
Otolithoides biauritus,14.28,3.01,0.21
Otolithoides biauritus,15.69,3.13,0.2
Otolithoides biauritus,13.89,3.0,0.22
Otolithoides biauritus,16.65,3.14,0.19
Otolithoides biauritus,17.45,3.19,0.18
Otolithoides biauritus,15.6,3.16,0.2
Otolithoides biauritus,12.94,3.0,0.23
Otolithoides biauritus,15.88,3.04,0.19
Otolithoides biauritus,14.16,3.04,0.22
Otolithoides biauritus,19.88,3.36,0.17
Otolithoides biauritus,14.13,3.06,0.22
Otolithoides biauritus,15.27,3.11,0.2
Otolithoides biauritus,15.31,3.04,0.2
Otolithoides biauritus,15.2,3.06,0.2
Otolithoides biauritus,18.34,3.16,0.17
Otolithoides biauritus,12.55,2.99,0.24
Otolithoides biauritus,20.84,3.24,0.16
Otolithoides biauritus,20.61,3.28,0.16
Otolithoides biauritus,15.56,3.13,0.2
Otolithoides biauritus,17.04,3.15,0.18
Otolithoides biauritus,16.83,3.22,0.19
Otolithoides biauritus,16.49,3.21,0.19
Otolithoides biauritus,16.13,3.11,0.19
Otolithoides biauritus,16.78,3.12,0.19
Otolithoides biauritus,15.55,3.14,0.2
Otolithoides biauritus,16.93,3.1,0.18
Otolithoides biauritus,15.0,3.12,0.21
Otolithoides biauritus,16.99,3.16,0.19
Otolithoides biauritus,17.69,3.27,0.18
Otolithoides biauritus,17.87,3.19,0.18
Otolithoides biauritus,14.1,3.01,0.21
Otolithoides biauritus,11.69,2.94,0.25
Otolithoides biauritus,14.86,3.04,0.2
Otolithoides biauritus,18.73,3.21,0.17
Otolithoides biauritus,17.27,3.13,0.18
Otolithoides biauritus,16.49,3.06,0.19
Otolithoides biauritus,12.91,2.96,0.23
Otolithoides biauritus,17.61,3.16,0.18
Otolithoides biauritus,17.37,3.16,0.18
Otolithoides biauritus,15.8,3.05,0.19
Otolithoides biauritus,15.72,3.19,0.2
Otolithoides biauritus,18.65,3.16,0.17
Otolithoides biauritus,19.25,3.21,0.17
Otolithoides biauritus,17.13,3.18,0.19
Otolithoides biauritus,14.48,3.14,0.22
Otolithoides biauritus,16.0,3.19,0.2
Otolithoides biauritus,13.91,3.09,0.22
Otolithoides biauritus,14.89,3.09,0.21
Otolithoides biauritus,13.08,3.04,0.23
Otolithoides biauritus,13.59,3.01,0.22
Otolithoides biauritus,16.91,3.07,0.18
Otolithoides biauritus,18.06,3.14,0.17
Otolithoides biauritus,14.33,3.03,0.21
Otolithoides biauritus,17.53,3.09,0.18
Otolithoides biauritus,16.71,3.09,0.19
Otolithoides biauritus,13.17,2.98,0.23
Otolithoides biauritus,16.04,3.16,0.2
Otolithoides biauritus,15.69,3.06,0.19
Otolithoides biauritus,15.85,3.09,0.2
Otolithoides biauritus,18.08,3.32,0.18
Otolithoides biauritus,14.42,2.98,0.21
Otolithoides biauritus,17.39,3.16,0.18
Otolithoides biauritus,12.63,3.06,0.24
Otolithoides biauritus,16.33,3.13,0.19
Otolithoides biauritus,16.38,3.2,0.2
Otolithoides biauritus,12.31,3.02,0.25
Otolithoides biauritus,15.79,3.08,0.2
Otolithoides biauritus,17.53,3.15,0.18
Otolithoides biauritus,17.35,3.17,0.18
Otolithoides biauritus,17.41,3.12,0.18
Otolithoides biauritus,12.96,2.95,0.23
Otolithoides biauritus,11.12,2.91,0.26
Otolithoides biauritus,18.34,3.25,0.18
Otolithoides biauritus,17.04,3.13,0.18
Otolithoides biauritus,19.33,3.22,0.17
Otolithoides biauritus,15.99,3.16,0.2
Otolithoides biauritus,17.04,3.19,0.19
Otolithoides biauritus,17.03,3.1,0.18
Otolithoides biauritus,17.68,3.1,0.18
Otolithoides biauritus,20.01,3.32,0.17
Otolithoides biauritus,20.06,3.21,0.16
Otolithoides biauritus,16.07,3.14,0.2
Otolithoides biauritus,17.73,3.16,0.18
Otolithoides biauritus,13.04,3.11,0.24
Otolithoides biauritus,14.56,3.11,0.21
Otolithoides biauritus,16.5,3.11,0.19
Otolithoides biauritus,20.86,3.34,0.16
Otolithoides biauritus,17.45,3.2,0.18
Otolithoides biauritus,16.96,3.2,0.19
Otolithoides biauritus,15.44,3.13,0.2
Otolithoides biauritus,12.38,3.01,0.24
Otolithoides biauritus,17.03,3.11,0.18
Otolithoides biauritus,12.99,2.96,0.23
Otolithoides biauritus,21.6,3.36,0.16
Otolithoides biauritus,16.82,3.15,0.19
Otolithoides biauritus,19.26,3.16,0.16
Otolithoides biauritus,11.93,3.06,0.26
Otolithoides biauritus,17.11,3.2,0.19
Otolithoides biauritus,15.61,3.09,0.2
Otolithoides biauritus,11.82,3.04,0.26
Otolithoides biauritus,18.54,3.19,0.17
Otolithoides biauritus,12.17,2.99,0.25
Otolithoides biauritus,16.48,3.14,0.19
Otolithoides biauritus,15.78,3.14,0.2
Otolithoides biauritus,21.24,3.33,0.16
Otolithoides biauritus,13.58,3.04,0.22
Otolithoides biauritus,12.68,2.96,0.23
Otolithoides biauritus,17.16,3.14,0.18
Otolithoides biauritus,15.87,3.04,0.19
Otolithoides biauritus,15.01,3.05,0.2
Otolithoides biauritus,16.41,3.25,0.2
Otolithoides biauritus,17.25,3.09,0.18
Otolithoides biauritus,16.8,3.23,0.19
Otolithoides biauritus,19.18,3.27,0.17
Otolithoides biauritus,21.04,3.36,0.16
Otolithoides biauritus,13.37,3.02,0.23
Otolithoides biauritus,15.97,3.13,0.2
Otolithoides biauritus,19.2,3.26,0.17
Otolithoides biauritus,12.0,2.99,0.25
Otolithoides biauritus,19.26,3.19,0.17
Otolithoides biauritus,13.95,3.09,0.22
Otolithoides biauritus,19.18,3.15,0.16
Otolithoides biauritus,12.33,3.0,0.24
Otolithoides biauritus,16.29,3.16,0.19
Otolithoides biauritus,16.07,3.03,0.19
Otolithoides biauritus,16.02,3.15,0.2
Otolithoides biauritus,13.39,2.85,0.21
Otolithoides biauritus,11.76,2.96,0.25
Otolithoides biauritus,14.86,3.06,0.21
Otolithoides biauritus,20.42,3.25,0.16
Otolithoides biauritus,15.74,3.19,0.2
Otolithoides biauritus,18.91,3.3,0.17
Otolithoides biauritus,20.12,3.22,0.16
Otolithoides biauritus,14.34,3.07,0.21
Otolithoides biauritus,16.49,3.14,0.19
Otolithoides biauritus,15.91,3.22,0.2
Otolithoides biauritus,15.53,3.1,0.2
Otolithoides biauritus,14.81,3.12,0.21
Otolithoides biauritus,15.6,3.08,0.2
Otolithoides biauritus,16.68,3.06,0.18
Otolithoides biauritus,16.11,2.97,0.18
Otolithoides biauritus,16.81,3.26,0.19
Otolithoides biauritus,17.91,3.25,0.18
Otolithoides biauritus,16.0,3.08,0.19
Otolithoides biauritus,17.08,3.27,0.19
Otolithoides biauritus,15.81,3.07,0.19
Otolithoides biauritus,13.24,3.01,0.23
Otolithoides biauritus,17.05,3.12,0.18
Otolithoides biauritus,16.35,3.14,0.19
Otolithoides biauritus,15.96,3.12,0.2
Otolithoides biauritus,15.58,3.17,0.2
Otolithoides biauritus,14.38,2.97,0.21
Otolithoides biauritus,16.18,3.09,0.19
Otolithoides biauritus,18.71,3.21,0.17
Otolithoides biauritus,15.97,3.06,0.19
Otolithoides biauritus,16.78,3.17,0.19
Otolithoides biauritus,10.82,2.95,0.27
Otolithoides biauritus,11.92,2.99,0.25
Otolithoides biauritus,15.85,3.1,0.2
Otolithoides biauritus,15.98,3.18,0.2
Otolithoides biauritus,18.04,3.12,0.17
Otolithoides biauritus,14.6,3.0,0.21
Otolithoides biauritus,18.24,3.2,0.18
Otolithoides biauritus,11.81,3.01,0.26
Otolithoides biauritus,14.95,3.08,0.21
Otolithoides biauritus,15.54,3.13,0.2
Otolithoides biauritus,13.74,2.97,0.22
Otolithoides biauritus,12.29,3.03,0.25
Otolithoides biauritus,17.4,3.15,0.18
Otolithoides biauritus,17.28,3.13,0.18
Otolithoides biauritus,16.05,3.19,0.2
Otolithoides biauritus,16.29,3.1,0.19
Otolithoides biauritus,17.88,3.22,0.18
Otolithoides biauritus,16.14,3.11,0.19
Otolithoides biauritus,13.15,3.02,0.23
Otolithoides biauritus,16.99,3.13,0.18
Otolithoides biauritus,15.33,3.11,0.2
Otolithoides biauritus,17.55,3.16,0.18
Otolithoides biauritus,14.73,3.07,0.21
Otolithoides biauritus,18.74,3.22,0.17
Otolithoides biauritus,18.31,3.21,0.18
Otolithoides biauritus,18.16,3.14,0.17
Otolithoides biauritus,20.81,3.25,0.16
Otolithoides biauritus,18.47,3.18,0.17
Otolithoides biauritus,15.51,3.08,0.2
Otolithoides biauritus,16.29,3.15,0.19
Otolithoides biauritus,19.07,3.17,0.17
Otolithoides biauritus,12.05,2.97,0.25
Otolithoides biauritus,17.22,3.1,0.18
Otolithoides biauritus,15.75,3.16,0.2
Otolithoides biauritus,19.63,3.27,0.17
Otolithoides biauritus,21.42,3.28,0.15
Otolithoides biauritus,16.92,3.19,0.19
Otolithoides biauritus,19.78,3.25,0.16
Otolithoides biauritus,13.17,2.93,0.22
Otolithoides biauritus,11.76,2.93,0.25
Otolithoides biauritus,16.28,3.07,0.19
Otolithoides biauritus,12.64,3.04,0.24
Otolithoides biauritus,16.12,3.15,0.2
Otolithoides biauritus,12.78,2.93,0.23
Otolithoides biauritus,14.24,3.04,0.21
Otolithoides biauritus,12.24,2.85,0.23
Otolithoides biauritus,15.89,3.12,0.2
Otolithoides biauritus,16.71,3.08,0.18
Otolithoides biauritus,13.9,3.09,0.22
Otolithoides biauritus,15.86,3.13,0.2
Otolithoides biauritus,17.14,3.25,0.19
Otolithoides biauritus,13.81,3.06,0.22
Otolithoides biauritus,19.95,3.3,0.17
Otolithoides biauritus,19.55,3.26,0.17
Otolithoides biauritus,15.94,3.1,0.19
Otolithoides biauritus,19.26,3.18,0.17
Otolithoides biauritus,19.27,3.24,0.17
Otolithoides biauritus,13.25,2.98,0.23
Otolithoides biauritus,17.93,3.21,0.18
Otolithoides biauritus,15.12,3.1,0.21
